id,label
0,14
1,11
2,9
3,14
4,16
5,12
6,2
7,2
8,11
9,9
10,8
11,14
12,14
13,15
14,5
15,17
16,0
17,7
18,16
19,2
20,3
21,17
22,9
23,11
24,2
25,10
26,15
27,19
28,14
29,10
30,1
31,13
32,3
33,11
34,12
35,18
36,15
37,11
38,3
39,14
40,6
41,4
42,17
43,18
44,8
45,0
46,19
47,19
48,16
49,16
50,13
51,13
52,10
53,3
54,15
55,0
56,0
57,5
58,11
59,10
60,6
61,15
62,12
63,14
64,2
65,18
66,7
67,13
68,13
69,13
70,16
71,5
72,5
73,15
74,2
75,2
76,11
77,5
78,15
79,6
80,9
81,2
82,18
83,0
84,0
85,10
86,11
87,4
88,15
89,0
90,10
91,15
92,0
93,14
94,12
95,4
96,8
97,14
98,5
99,11
100,10
101,9
102,14
103,0
104,16
105,15
106,16
107,19
108,11
109,15
110,12
111,7
112,10
113,15
114,8
115,0
116,16
117,7
118,3
119,8
120,13
121,17
122,11
123,13
124,11
125,11
126,18
127,8
128,19
129,8
130,10
131,16
132,9
133,0
134,17
135,11
136,15
137,10
138,8
139,2
140,1
141,5
142,3
143,5
144,1
145,13
146,0
147,1
148,16
149,10
150,13
151,3
152,18
153,7
154,5
155,15
156,18
157,15
158,9
159,2
160,13
161,9
162,8
163,17
164,9
165,15
166,6
167,2
168,14
169,5
170,2
171,18
172,18
173,14
174,7
175,14
176,16
177,17
178,15
179,2
180,7
181,11
182,17
183,12
184,3
185,1
186,15
187,18
188,1
189,1
190,1
191,17
192,16
193,5
194,13
195,11
196,11
197,6
198,11
199,8
200,6
201,10
202,13
203,19
204,17
205,7
206,16
207,16
208,16
209,7
210,9
211,1
212,9
213,2
214,12
215,13
216,0
217,18
218,15
219,13
220,19
221,1
222,15
223,12
224,16
225,13
226,11
227,15
228,3
229,18
230,2
231,12
232,16
233,19
234,8
235,1
236,8
237,15
238,8
239,11
240,12
241,15
242,15
243,7
244,15
245,16
246,5
247,15
248,4
249,19
250,7
251,11
252,17
253,7
254,7
255,16
256,1
257,5
258,16
259,9
260,1
261,7
262,15
263,12
264,7
265,12
266,7
267,4
268,6
269,0
270,11
271,4
272,0
273,1
274,12
275,10
276,3
277,14
278,12
279,1
280,5
281,15
282,18
283,10
284,1
285,8
286,1
287,12
288,15
289,1
290,0
291,11
292,7
293,4
294,8
295,8
296,7
297,4
298,15
299,15
300,17
301,15
302,13
303,17
304,12
305,8
306,14
307,17
308,8
309,19
310,18
311,7
312,6
313,6
314,11
315,19
316,10
317,6
318,11
319,5
320,4
321,14
322,3
323,13
324,14
325,16
326,0
327,5
328,8
329,19
330,2
331,11
332,13
333,17
334,5
335,10
336,12
337,0
338,3
339,19
340,8
341,4
342,16
343,17
344,6
345,11
346,14
347,8
348,11
349,18
350,11
351,4
352,7
353,9
354,18
355,12
356,4
357,12
358,7
359,13
360,2
361,0
362,7
363,13
364,18
365,19
366,10
367,0
368,4
369,5
370,8
371,12
372,6
373,4
374,10
375,14
376,0
377,11
378,3
379,15
380,5
381,7
382,6
383,18
384,14
385,11
386,10
387,2
388,5
389,12
390,0
391,4
392,6
393,9
394,6
395,19
396,6
397,7
398,16
399,18
400,5
401,13
402,11
403,13
404,9
405,4
406,12
407,3
408,18
409,3
410,13
411,3
412,1
413,0
414,12
415,17
416,1
417,2
418,6
419,6
420,18
421,17
422,2
423,4
424,9
425,15
426,0
427,0
428,8
429,8
430,11
431,4
432,7
433,14
434,19
435,8
436,6
437,13
438,4
439,9
440,16
441,10
442,2
443,14
444,18
445,0
446,10
447,6
448,1
449,19
450,15
451,8
452,11
453,0
454,19
455,7
456,3
457,4
458,11
459,17
460,17
461,6
462,14
463,5
464,1
465,5
466,9
467,6
468,8
469,9
470,3
471,16
472,11
473,15
474,17
475,0
476,12
477,0
478,7
479,10
480,6
481,9
482,18
483,7
484,0
485,3
486,1
487,13
488,4
489,15
490,15
491,2
492,9
493,8
494,15
495,6
496,11
497,8
498,16
499,17
500,3
501,18
502,9
503,5
504,16
505,1
506,5
507,12
508,19
509,18
510,6
511,0
512,1
513,10
514,18
515,6
516,14
517,2
518,0
519,2
520,9
521,16
522,18
523,8
524,6
525,16
526,9
527,3
528,19
529,3
530,10
531,9
532,14
533,16
534,11
535,18
536,19
537,8
538,17
539,14
540,7
541,17
542,17
543,0
544,13
545,14
546,16
547,7
548,8
549,17
550,17
551,2
552,2
553,2
554,4
555,17
556,7
557,11
558,16
559,17
560,19
561,3
562,11
563,13
564,5
565,13
566,2
567,17
568,6
569,4
570,0
571,14
572,12
573,18
574,14
575,10
576,18
577,11
578,14
579,9
580,17
581,17
582,9
583,11
584,18
585,0
586,7
587,16
588,15
589,1
590,2
591,12
592,8
593,11
594,2
595,16
596,10
597,19
598,5
599,10
600,14
601,8
602,10
603,13
604,4
605,15
606,1
607,0
608,0
609,17
610,7
611,10
612,13
613,15
614,4
615,8
616,6
617,5
618,5
619,0
620,10
621,8
622,18
623,0
624,7
625,18
626,3
627,17
628,9
629,15
630,12
631,0
632,8
633,13
634,13
635,11
636,9
637,14
638,17
639,13
640,3
641,1
642,14
643,7
644,16
645,7
646,15
647,13
648,13
649,0
650,1
651,16
652,0
653,13
654,5
655,9
656,4
657,1
658,10
659,12
660,3
661,12
662,12
663,2
664,15
665,3
666,9
667,19
668,12
669,8
670,11
671,2
672,4
673,11
674,15
675,3
676,5
677,2
678,5
679,10
680,14
681,7
682,15
683,3
684,15
685,6
686,4
687,9
688,8
689,4
690,1
691,8
692,17
693,9
694,5
695,12
696,6
697,11
698,19
699,9
700,15
701,5
702,18
703,9
704,0
705,14
706,7
707,4
708,1
709,19
710,3
711,9
712,5
713,15
714,17
715,5
716,5
717,12
718,4
719,1
720,16
721,13
722,19
723,4
724,14
725,1
726,10
727,8
728,2
729,15
730,11
731,4
732,3
733,4
734,13
735,18
736,6
737,14
738,14
739,17
740,16
741,9
742,7
743,4
744,13
745,2
746,3
747,6
748,17
749,19
750,14
751,5
752,17
753,3
754,12
755,19
756,18
757,18
758,17
759,10
760,16
761,8
762,13
763,0
764,19
765,6
766,12
767,17
768,11
769,7
770,8
771,4
772,1
773,6
774,11
775,10
776,1
777,8
778,3
779,2
780,17
781,1
782,9
783,11
784,8
785,1
786,10
787,0
788,18
789,13
790,5
791,8
792,1
793,15
794,2
795,7
796,19
797,4
798,10
799,12
800,2
801,18
802,3
803,16
804,10
805,15
806,12
807,16
808,16
809,16
810,16
811,5
812,14
813,1
814,12
815,1
816,0
817,7
818,3
819,2
820,12
821,8
822,2
823,19
824,18
825,1
826,6
827,0
828,19
829,17
830,17
831,4
832,7
833,0
834,4
835,15
836,17
837,3
838,4
839,16
840,14
841,2
842,10
843,17
844,7
845,14
846,16
847,19
848,6
849,0
850,18
851,19
852,1
853,14
854,14
855,11
856,9
857,7
858,11
859,11
860,14
861,18
862,10
863,14
864,10
865,4
866,2
867,11
868,1
869,13
870,3
871,9
872,3
873,17
874,0
875,4
876,8
877,12
878,9
879,18
880,19
881,9
882,15
883,17
884,0
885,18
886,10
887,8
888,3
889,9
890,15
891,1
892,15
893,10
894,8
895,10
896,4
897,5
898,4
899,17
900,17
901,2
902,2
903,13
904,18
905,12
906,0
907,2
908,10
909,19
910,16
911,13
912,4
913,11
914,3
915,12
916,11
917,18
918,13
919,2
920,6
921,17
922,6
923,3
924,10
925,9
926,16
927,7
928,16
929,3
930,7
931,7
932,17
933,12
934,1
935,5
