id,label
0,0
1,11
2,14
3,14
4,0
5,12
6,2
7,3
8,18
9,9
10,8
11,14
12,12
13,3
14,19
15,13
16,0
17,15
18,2
19,2
20,0
21,17
22,12
23,11
24,3
25,10
26,15
27,19
28,14
29,6
30,1
31,13
32,1
33,11
34,13
35,11
36,15
37,18
38,11
39,19
40,6
41,3
42,8
43,18
44,8
45,0
46,17
47,19
48,1
49,16
50,13
51,13
52,10
53,3
54,17
55,0
56,0
57,2
58,10
59,4
60,6
61,15
62,2
63,14
64,3
65,18
66,18
67,16
68,13
69,2
70,16
71,10
72,5
73,15
74,2
75,4
76,11
77,19
78,15
79,6
80,9
81,16
82,10
83,12
84,0
85,2
86,8
87,4
88,15
89,0
90,10
91,15
92,0
93,14
94,12
95,4
96,8
97,1
98,15
99,11
100,10
101,9
102,9
103,0
104,0
105,6
106,7
107,12
108,18
109,15
110,12
111,9
112,4
113,16
114,16
115,0
116,16
117,5
118,17
119,8
120,13
121,17
122,10
123,13
124,11
125,12
126,17
127,11
128,5
129,18
130,10
131,16
132,14
133,10
134,17
135,11
136,0
137,10
138,13
139,2
140,11
141,8
142,3
143,7
144,9
145,14
146,17
147,1
148,16
149,10
150,13
151,3
152,5
153,18
154,5
155,15
156,18
157,15
158,18
159,2
160,13
161,2
162,8
163,17
164,0
165,12
166,6
167,2
168,18
169,19
170,4
171,18
172,6
173,14
174,9
175,18
176,16
177,17
178,15
179,4
180,3
181,5
182,12
183,12
184,3
185,1
186,15
187,4
188,1
189,16
190,1
191,0
192,16
193,4
194,13
195,9
196,3
197,17
198,18
199,8
200,6
201,10
202,13
203,19
204,18
205,11
206,8
207,9
208,2
209,7
210,17
211,16
212,9
213,2
214,12
215,18
216,0
217,18
218,1
219,13
220,19
221,1
222,9
223,12
224,16
225,12
226,14
227,15
228,3
229,18
230,4
231,12
232,1
233,18
234,8
235,2
236,8
237,2
238,8
239,12
240,16
241,15
242,15
243,7
244,0
245,16
246,17
247,15
248,19
249,13
250,15
251,5
252,17
253,4
254,18
255,19
256,8
257,5
258,16
259,1
260,14
261,7
262,15
263,12
264,7
265,12
266,7
267,4
268,6
269,0
270,14
271,4
272,9
273,1
274,15
275,10
276,2
277,13
278,4
279,10
280,5
281,2
282,17
283,8
284,3
285,8
286,1
287,15
288,15
289,3
290,4
291,10
292,7
293,9
294,8
295,18
296,0
297,3
298,15
299,3
300,8
301,4
302,5
303,17
304,10
305,8
306,14
307,11
308,8
309,0
310,11
311,7
312,6
313,5
314,11
315,8
316,10
317,13
318,11
319,5
320,1
321,14
322,10
323,13
324,7
325,16
326,5
327,5
328,13
329,0
330,1
331,12
332,15
333,4
334,5
335,10
336,12
337,19
338,15
339,19
340,8
341,4
342,16
343,4
344,6
345,11
346,14
347,8
348,11
349,18
350,15
351,3
352,18
353,9
354,2
355,14
356,4
357,12
358,5
359,15
360,10
361,0
362,7
363,15
364,8
365,19
366,10
367,0
368,8
369,5
370,8
371,9
372,6
373,4
374,15
375,14
376,17
377,10
378,17
379,15
380,6
381,7
382,6
383,7
384,14
385,12
386,1
387,15
388,19
389,15
390,0
391,10
392,6
393,9
394,6
395,2
396,6
397,7
398,12
399,15
400,4
401,13
402,11
403,14
404,7
405,1
406,14
407,3
408,18
409,2
410,18
411,3
412,16
413,0
414,14
415,6
416,1
417,2
418,19
419,6
420,19
421,17
422,2
423,6
424,9
425,15
426,0
427,0
428,18
429,8
430,7
431,2
432,9
433,14
434,5
435,8
436,18
437,13
438,4
439,3
440,18
441,10
442,12
443,14
444,2
445,0
446,12
447,6
448,18
449,19
450,14
451,8
452,11
453,12
454,2
455,7
456,3
457,4
458,18
459,17
460,17
461,6
462,14
463,10
464,1
465,6
466,1
467,6
468,7
469,0
470,4
471,16
472,19
473,17
474,16
475,0
476,9
477,0
478,7
479,3
480,6
481,18
482,4
483,7
484,0
485,1
486,9
487,18
488,13
489,17
490,15
491,2
492,10
493,18
494,15
495,6
496,18
497,10
498,16
499,13
